Word,Definitions
ChaA,"Ending in a [[point]] or having an [[edge]] that can [[puncture]], [[poke]], [[slice]], or [[cut]] through, [[sharp]]. ; To be in a state of good physical shape or [[health]]. ; The [[day]] that comes [[after]] [[tomorrow]]"
ChiF-nyiJ,[[truthfully]]; to do or say something with integrity. ; [[true]] ; [[true]]
ChinA-qaE,"(Of [[characteristic]]) [[ugly]], [[unappealing]]"
ChinqH,(Of [[quantity]]) a [[small]] [[amount]]
JaA,To be [[free]] or [[liberated]] ; To be [[in-between]]
JlaF,(Of [[characteristic]]) [[grouchy]]; [[grumpy]]
JloA,(not comparable) [[first]]; [[earliest]]
JlyaqG,(Related to [[taste]] or [[quality]]) [[bitter]]
JlyoI,(Related to [[visibility]] or [[appearance]]) [[covered]]
JneqE,"(Of [[developmental]] [[stage]] or [[behavior]]) [[juvenile]], [[young]]"
JnoA,"To be of great [[size]], [[large]]"
JwaH,(Of [[physical]] [[characteristic]]) [[long]]
JweA-saK,The quality of having or expressing [[strength]]
KaA-jweB,(Of [[color]]) [[brown]]
KaG,A type of [[beetle]] that is a [[pest]] to [[bean]] [[crop]]s. ; (Related to [[orientation]] or [[place]]) on the [[left]] [[side]]
KanqG,(demonstrative; adjective) [[that]] ; [[previously]] [[mentioned]] individual
KchaA,[[illness]] ; [[epidemic]] or contagious sickness ; [[insane]] or to be [[demented]] ; [[crazy]]
KcheH,[[tousled]] ; [[unkempt]]; [[unkept]]
KcheqH,"(Of [[size]]) [[small]], used for [[inanimate]] nouns."
KinA,[[swollen]] ; [[raised]] in some nature
KlaA,"[[corn]] [[plant]] ; Of an [[old]] [[age]], [[elderly]]"
KnyaqH,(Potentially [[vulgar]]) [[filthy]] ; (Of [[cleanliness]]) [[dirty]]
KoE,"(Of [[size]]) [[grand]], [[great]]"
KqwiF,(Of a [[state]]) [[inebriated]]; [[drunk]]
KsonB,(In relation to [[inanimate]] [[objects]]) [[dated]]; [[antique]]
KtiE,(Of [[texture]]) [[soft]] or [[smooth]]
KtiF,(Of [[quality]]) [[delicate]]
KtsiC,(Of [[color]]) A [[shade]] of [[yellow]]
KtsiC-jyaA,(Of [[color]]) A [[blend]] between [[yellow]] and [[green]]; [[lime]]
KtsiC-yeB,(Of [[color]]) a [[shade]] of [[orange]]
KtyinqF,(Related to [[sight]]) [[blind]]
KuqG,(Of [[cleanliness]]) [[grimey]]; [[dirty]]
KwaE,[[that]]
KwaF,A [[broom]] ; (Of [[color]]) A [[purple]] ; ([[demonstrative]]) [[that]]
KwenG,(Related to [[sound]]) [[loud]]
KwiB,(Of a [[state]] or [[status]]) [[new]]
KxiqG,(Related to [[color]]) an [[unspecified]] shade of [[blue]]
KxiqG-ntenF,"(Of [[color]]) [[sky blue]], a vibrant, lighter [[blue]] color"
KyqyuE,A [[man]]; a [[male]] ; (Of [[characteristic]] or [[physical]] [[quality]]) [[masculine]]
L'yeG,(Related to [[physical]] [[condition]]) [[healthy]]
LaC-laE,(Of [[pace]]) [[faster]]
LoE,{{lb|en|medicine}} {{initialism of|en|w:level of evidence}}. ; [[apparently]] or [[seemingly]]
LwiF,(Related to [[appearance]]) [[clean]]; to appear [[cleaned]]
LyaqC riqC ranF,To [[pose]] a [[challenge]]; [[difficult]]
LyuqH,"(Of [[size]]) [[little]], used for [[animate]] nouns."
NaC,(In relation to [[behavior]]) [[quiet]] or [[silent]]
NaF riqC,To have a quality of [[sadness]]; [[sad]]
NaI,(Some) [[pain]] ; [[painful]]
NaqE,(Of [[texture]]) [[viscous]]; [[thick]]
Nd'yaA,[[all]] ; A [[group]] of [[people]]; every [[person]]
Nd'yeqF riqC,(Of [[characteristic]]) [[mocking]]; [[teasing]]
Nd'yuqA,[[rabid]] ; [[mischievous]] or behaving in a [[mischievous]] way
NdiH-tiqC,"(Of [[mental]] [[state]]) [[sober]], no longer [[inebriated]] ; (Of [[executive]] [[function]]) [[judgement]]"
NdonG riqC,(Of [[emotion]]) [[happy]] ; [[gleeful]]
NgwenG,(Of [[characteristic]]) [[mature]] ; (Of [[quality]]) [[ripe]]
NgwiG,(Of [[characteristic]]) [[silly]]
NiA,[[none]] or [[not]] any of
NkqaE,(Of [[color]]) [[red]]
NkqaE-jneqE,(Of [[color]]) [[pink]]
NkqaE-kiqI,(Related to [[color]]) [[burgundy]]
NkqaG,(Of [[color]]) [[green]]
NkqaG-ktsiC,(Of [[color]]) a shade of [[green]] with hues of [[yellow]]
NkqaG-yanG,(Of [[color]]) A shade of [[green]] that is similar to the [[color]] of an [[avocado]].
NtaE,(Of [[form]] or [[shape]]) [[smashed]]
NtaF,(In relation to [[color]]) [[black]]
NtaF-jiG,(Related to [[color]]) [[gray]]
NtenB- ntaS,(of [[race]]) [[black]]
NtenF,(In relation to [[color]]) [[white]]
NteqI-tiqC,In a [[state]] of [[hunger]]; [[hungry]]
NtjaE,(Related to [[characteristic]]) [[lazy]]
NtqanE riqE,"(Of [[characteristic]]) [[weak]], lacking [[strength]]"
NtsenG,(Of [[pattern]] or [[appearance]]) [[spotted]]
NtsiqF,(In relation of [[visibility]]) [[hidden]]; [[concealed]]
NyiA,[[moving]] in a forward direction ; [[straight]]
PleA,Behaving in a [[foolish]] manner ; [[stupid]]
QanE,(Of [[characteristic]] quality) [[feminine]] ; [[female]]
QneG,(Related to [[surfaces]]) [[level]]; [[flat]]
QnyaE,(Of [[economic]] [[status]]) [[luxurious]]; [[fancy]] ; [[luxury]]
QuB,To be [[lively]]; [[alive]]
QwaE,"(Of a [[physical]] [[space]]) [[cramped]], [[narrow]]"
RaF,(In relation to [[characteristic]] or [[texture]]) [[rough]]
ReC,[[this]]
RiH-kaG,[[left-handed]]
SaA,(In regards to [[weight]]) [[light]]
SenqB riqS,In a [[state]] of [[rage]] or [[anger]]; [[angry]]
SkwiB,(Of a [[sensation]]) [[soft]]
SlaF,The state of being [[sleepy]] or suggesting [[tiredness]]
SlyeA,Acting in a [[careless]] manner ; [[stupid]]
SqanE,"A type of [[bowl]], possibly made from [[earthen]] material ; [[pot]] or [[cooking pot]] ; [[full]], [[filled]]"
SqweF,"[[Santa Catarina Juquila]] [[district]] in [[Oaxaca]], [[Mexico]] ; (In relation to [[characteristic]]) [[good]]; well-[[mannered]]"
SyeqF tiqC,In a [[state]] of [[joy]] or [[happiness]]; [[happy]]
T'yaH,(Of [[characteristic]]) [[intelligent]]
T'yaqAF,Of [[slow]] nature
TiAF,(Of [[human]] [[feature]]) [[thin]] or [[skinny]]
TjenqF,(Related to [[texture]]) [[sticky]]
TjiA,Relatively [[recent]]; [[new]] ; To exhibit [[stingy]] behaviors
TkanqC,(Of [[quality]] or [[thickness]]) [[dense]]
TkonF,To have an [[unpleasant]] [[odor]]; [[stink]]; [[reek]]
TkonqE,(In relation to [[economics]]) [[greedy]]
TkwenA,Of [[taller]] [[stature]]; [[tall]]
TkwiE,Posing to be a [[challenge]]; [[difficult]]
TlaI,(Of [[sensation]] or [[durability]]) [[hard]]; [[tough]]
TlyaqA,[[plastic]] ([[bottle]]) ; To have a [[plastic]]-like [[quality]]
TlyuC,(Of [[age]]) [[big]] ; [[older]]
TlyuC siqE,(Of or related to a [[state]]) [[pregnant]]
TneA,To exhibit [[rust]] or have a [[rust]]ed surface
TnyaF,[[industrial]]; [[industrious]]
TnyaqA,To exhibit a state of [[tiredness]]; [[tired]] ; [[exhausted]]
TqenB,(In relation to physical or emotional weight) [[heavy]]
TqiB,(In relation to [[emotional]] or [[behavioral]] [[conduct]]) [[poor]] or [[poor]]-[[mannered]]
