Word,Definitions
ChaA,"Ending in a [[point]] or having an [[edge]] that can [[puncture]], [[poke]], [[slice]], or [[cut]] through, [[sharp]]. ; To be in a state of good physical shape or [[health]]. ; The [[day]] that comes [[after]] [[tomorrow]]"
ChaqF-ngaJ,([[interrogative]]) For [[what]] [[cause]]; [[why]]
ChaqF-noJ,[[so]] ... [[that]]
ChiF-nyiJ,[[truthfully]]; to do or say something with integrity. ; [[true]] ; [[true]]
ChinA-chaqF,"(Of ''[[possibility]]'') [[possibly]], [[maybe]]"
ChonqG,[[back]] [[of]] someone; used to show possession ; (locative adverb) [[because]]
JaA-laI,([[negation]]) [[not]]
JaA-nd'yaI,(A phrase related to [[necessity]]) lacking something; to not have something
JaA-neI,"[[yes]], used to [[indicate]] or [[express]] [[acceptance]] or [[agreeing]]"
JaA-sqneE-chaqE,"[[surely]], [[absolutely]]"
JaA-tyiI,[[never]]
JaE-noA,Upon which [[specific]] or [[certain]] [[time]]
JanqH,[[then]]
JinC-taE-qaE,"(Of [[quantity]], usually) [[too much]], [[a lot]]"
KanqG-chaqF,(In [[after]] an [[event]]) [[therefore]]; [[because]] of this
KanqG-noA,[[after]] a certain [[time]]; [[then]]
KwanC,Towards a higher position than once was; [[upwards]] ; [[up]]
KyaH,(Related to [[time]] of [[occurrence]]) [[tomorrow]]
KyqanJ-laE,(Of greater quantity) a greater number; higher [[quantity]] ; [[more]]
L'yaqG,(Related to [[location]]) [[outdoors]]; [[outside]]
LaA-qneE,"[[over there]], a proximal distal demonstrative in function"
LaA-qyaA,Down a certain place; [[down]] [[there]]
LaC-qaE,At a [[quick]] pace ; [[fastly]]
LaC-tiE,(Of [[pace]]) [[faster]]
LaH,(Of [[location]]) [[wherever]]
NaH,(Interrogative adverb) [[where]]
Nd'yaA-sqenG,[[very]] ; [[completely]]; [[totally]]
NdeC,"[[here]], next to the speaker"
NdiyaI-wraS,On [[some]] [[occasions]]; not [[frequently]]
NeC,(Of [[action]]) [[today]]
NiA-qyaA,[[down]] a certain [[direction]]; [[straight]] [[down]]
NkaF,(Related to [[time]] of [[occurrence]]) [[yesterday]]
NlaE,"(Related to [[businesses]]) [[open]], or [[open]] for [[business]]"
NoH-waC,At [[which]] time or to specify a time; [[when]]
NsqyaI,[[because]] of you
NtqenA chaqF,Under [[obligation]]; [[compulsorily]]
NtyqoH-chaqF,An [[emphatic]] [[affirmation]]*
QneE,(Of approximate [[distance]]) [[over]] [[there]]
QoE,A species of [[hallucinogenic]] [[mushroom]] ; [[with]] ; [[also]]
QyaA,[[eagle]] or [[hawk]] ; A type of [[cocoa]] ; On [[some]] [[occasions]]; not [[frequently]]
RaK-jloG,At the [[beginning]]; at the [[start]]
RiH-kwaF,(In relation to [[distance]]) [[over]] [[there]]
RiH-qyaJ-laE,"(Of [[distance]] or [[height]]) [[farther]] [[down]], at a [[lower]] [[height]]"
SaA-qwiA,Rather [[rapidly]] ; [[suddenly]]
SenH,[[silence]]
SkaA-yaqA,On [[some]] [[occasions]]; not [[frequently]] ; [[once]]
SqenA-noA,In or at some [[place]] ; [[where]]
SqenG,[[absolutely]]
SqiE-qaJ,To make something of [[poor]] [[quality]] ; [[incorrectly]]
SqwaI,The [[same]]; [[equal]]
SyaH,[[only]] ; [[even]]
TiC,Functions as an adverbial [[grammar]] [[particle]]
TiC-jiH,(Of [[necessity]]) [[necessary]]; [[absolutely]] must be done
TiC-qaE,(Of [[time]]) more [[late]]; at a [[later]] time ; [[later]]
TiG,(Related to [[time]] of [[occurrence]]) The day before yesterday
TlaB,The [[night]] ; During the [[night]]; [[nighttime]]
TlyaB,In [[advance]] or [[ahead]] of [[time]]; [[early]]
TsaA,In a [[tight]] manner; [[tightly]]
TweA-tiAF,To [[complete]] or do a [[task]] [[slowly]]
XaI-taA,Of [[other]]; [[others]]
XiE,"(Of [[emotion]]) [[bad]], [[unwell]] ; (Of [[behavior]]) [[badly]]"
XkaI-yaqAF,At [[another]] [[time]] ; Could be interpreted as [[final]] time
