Word,Definitions
ChaA-jlyuqA,[[cricket]]
ChaF qneA meF-nkonqA,{{taxlink|Pholcus phalangioides|species}} ; Daddy long-legs spider
ChaF-jyaqF,"[[allowing]] someone to do something on their behalf, for themselves, or for others; [[permission]]"
ChaF-neqA-wjyaqC,An unspecified species of [[beetle]]
ChaF-qiH,An unspecified type of [[insect]]
ChaF-qiH-tlaJ,An unspecified type of [[insect]] that chirps at night
ChaqF-jyaC,A [[joke]] made by someone ; An amusing story
ChaqF-jyaqF,[[permission]]
ChaqF-knyiE,A [[lie]]; [[falsehood]]
ChaqF-ngaJ,([[interrogative]]) For [[what]] [[cause]]; [[why]]
ChaqF-noJ,[[so]] ... [[that]]
ChaqF-tlyuC,"A [[pardon]] from something, whether event or action ; [[forgiveness]]"
ChaqF-tnyaJ,[[Chatino]]
ChiF-kliqH,A [[rabbit]]
ChiF-nyiJ,[[truthfully]]; to do or say something with integrity. ; [[true]] ; [[true]]
ChiF-tykaqH,A [[blister]]
ChinA-chaqF,"(Of ''[[possibility]]'') [[possibly]], [[maybe]]"
ChinA-qaE,"(Of [[characteristic]]) [[ugly]], [[unappealing]]"
ChinF-ntyaA,[[nutria]] ; [[otter]]
ChinG-tyaF,An unspecified type of [[canine]] [[animal]] that eats smaller animals
JaA kwaA,[[four]]
JaA kwaA ylaC,[[eighty]]
JaA kwaA ylaC ndwaB jaE kwaJ,[[eighty-four]]
JaA kwaA ylaC ndwaB kaH,[[eighty-nine]]
JaA kwaA ylaC ndwaB ktiH,[[eighty-seven]]
JaA kwaA ylaC ndwaB skaE,[[eighty-one]]
JaA kwaA ylaC ndwaB skwaH,[[eighty-six]]
JaA kwaA ylaC ndwaB snaH,[[eighty-three]]
JaA kwaA ylaC ndwaB snoqH,[[eighty-eight]]
JaA kwaA ylaC ndwaB tkwaH,[[eighty-two]]
JaA kwaA ylaC sqwiE qnyoJ,[[ninety-five]]
JaA kwaA ylaC sqwiE qnyoJ lkwaI,[[ninety-nine]]
JaA kwaA ylaC sqwiE qnyoJ tykwaH,[[ninety-seven]]
JaA kwaA ylaC sqwiE qnyoJ xkaI,[[ninety-six]]
JaA kwaA ylaC sqwiE qnyoJ xnaH,[[ninety-eight]]
JaA kwaA ylaC sqwiE qyuE,[[eighty-five]]
JaA kwaA ylaC sqwiE tiE,[[ninety]]
JaA kwaA ylaC sqwiE tiJ lkwaI,[[ninety-four]]
JaA kwaA ylaC sqwiE tiJ tykwaH,[[ninety-two]]
JaA kwaA ylaC sqwiE tiJ xkaE,[[ninety-one]]
JaA kwaA ylaC sqwiE tiJ xnaH,[[ninety-three]]
JaA-ktonqI,A [[tamale]]
JaA-laI,([[negation]]) [[not]]
JaA-nd'yaI,(A phrase related to [[necessity]]) lacking something; to not have something
JaA-neI,"[[yes]], used to [[indicate]] or [[express]] [[acceptance]] or [[agreeing]]"
JaA-sqneE-chaqE,"[[surely]], [[absolutely]]"
JaA-tyiI,[[never]]
JaA-yuI,A [[gully]] ; A [[ravine]]
JaE-noA,Upon which [[specific]] or [[certain]] [[time]]
JaqG miHchiqJ,"A [[mat]], usually [[smaller]] in size"
JinC-taE-qaE,"(Of [[quantity]], usually) [[too much]], [[a lot]]"
