Word,Definitions
ChaA-jlyuqA,[[cricket]]
ChaF qneA meF-nkonqA,{{taxlink|Pholcus phalangioides|species}} ; Daddy long-legs spider
ChaF-jyaqF,"[[allowing]] someone to do something on their behalf, for themselves, or for others; [[permission]]"
ChaF-neqA-wjyaqC,An unspecified species of [[beetle]]
ChaF-qiH,An unspecified type of [[insect]]
ChaF-qiH-tlaJ,An unspecified type of [[insect]] that chirps at night
ChaqF,A [[language]] ; A [[word]]
ChaqF-jyaC,A [[joke]] made by someone ; An amusing story
ChaqF-jyaqF,[[permission]]
ChaqF-knyiE,A [[lie]]; [[falsehood]]
ChaqF-tlyuC,"A [[pardon]] from something, whether event or action ; [[forgiveness]]"
ChaqF-tnyaJ,[[Chatino]]
ChiA,[[gizzard]]
ChiF-kliqH,A [[rabbit]]
ChiF-tykaqH,A [[blister]]
ChinF-ntyaA,[[nutria]] ; [[otter]]
ChinG-tyaF,An unspecified type of [[canine]] [[animal]] that eats smaller animals
ChonqG,[[back]] [[of]] someone; used to show possession ; (locative adverb) [[because]]
ChuqB,[[pineapple]]
ChuqF,A [[badger]]
JaA-ktonqI,A [[tamale]]
JaA-yuI,A [[gully]] ; A [[ravine]]
JaK,[[mother superior]] ; A [[nun]]
JaqG,A [[sleeping]] [[mat]] made from [[straw]] or [[reeds]]
JaqG miHchiqJ,"A [[mat]], usually [[smaller]] in size"
JenG,"A [[purse]], or a [[bag]] of some variety"
JiG,(Some) [[ash]]
JinA,[[song]] ; [[music]]
JlaqG,"A type of [[palm]] plant, or part of the palm plant that is used"
JmeB yu0,[[medicine]]
JneG,(Some) [[blood]]
JneqC,A [[debt]]
JnoG,A [[lobster]]
JnoqC-tywiqG,An [[earthworm]]
JnyaF,[[work]] or some level of [[labor]]
JnyiB,[[money]] ; [[currency]] ; Having a [[deceptive]] quality ; [[liar]]
JonF,A [[strand]] of [[thread]]; a [[piece]] of [[thread]]
JqoE,[[witchcraft]] ; The performing of a [[magical]] [[ritual]]
JweA-jlaE,A [[taunt]] ; A [[mockery]]
JwiH,A [[whistle]] or [[whistling]] [[sound]]
JyaA,[[sugar cane]]
JyaC,"A [[game]], a playful activity"
JyanF,A [[field]] of [[corn]]; [[cornfield]]
JyaqA,[[mosquito]]
JyaqB,[[mushroom]] ; [[fungus]]
JyaqC,[[soap]] in some form
JyaqF,A [[scar]] or [[mark]] on the [[body]] ; A [[measurement]]
JyonqB,[[wart]] or [[mole]]
JyuB,[[horse]]
JyuqC,"[[spinning top]], a type of toy that spins"
KaG,A type of [[beetle]] that is a [[pest]] to [[bean]] [[crop]]s. ; (Related to [[orientation]] or [[place]]) on the [[left]] [[side]]
KaK,A [[cow]]
KaqE,A [[plank]] of [[wood]] ; Could specifically refer to a [[floorboard]]
KchaA,[[illness]] ; [[epidemic]] or contagious sickness ; [[insane]] or to be [[demented]] ; [[crazy]]
KchaA-kjoqH,"[[mumps]], a type of illness"
KchaG,The [[sun]]
KchanqG-keG,[[hair]] [[of]]; used to show possession
KcheA,[[agave]] fiber
KchiA,A stone made for grinding. ; [[grindstone]] or [[millstone]]
KchiF,A [[tiger]] ; Could also mean a [[lion]]
KchinA,[[village]] ; [[town]]
