Word,Definitions
JaA kwaA,[[four]]
JaA kwaA ylaC,[[eighty]]
JaA kwaA ylaC ndwaB jaE kwaJ,[[eighty-four]]
JaA kwaA ylaC ndwaB kaH,[[eighty-nine]]
JaA kwaA ylaC ndwaB ktiH,[[eighty-seven]]
JaA kwaA ylaC ndwaB skaE,[[eighty-one]]
JaA kwaA ylaC ndwaB skwaH,[[eighty-six]]
JaA kwaA ylaC ndwaB snaH,[[eighty-three]]
JaA kwaA ylaC ndwaB snoqH,[[eighty-eight]]
JaA kwaA ylaC ndwaB tkwaH,[[eighty-two]]
JaA kwaA ylaC sqwiE qnyoJ,[[ninety-five]]
JaA kwaA ylaC sqwiE qnyoJ lkwaI,[[ninety-nine]]
JaA kwaA ylaC sqwiE qnyoJ tykwaH,[[ninety-seven]]
JaA kwaA ylaC sqwiE qnyoJ xkaI,[[ninety-six]]
JaA kwaA ylaC sqwiE qnyoJ xnaH,[[ninety-eight]]
JaA kwaA ylaC sqwiE qyuE,[[eighty-five]]
JaA kwaA ylaC sqwiE tiE,[[ninety]]
JaA kwaA ylaC sqwiE tiJ lkwaI,[[ninety-four]]
JaA kwaA ylaC sqwiE tiJ tykwaH,[[ninety-two]]
JaA kwaA ylaC sqwiE tiJ xkaE,[[ninety-one]]
JaA kwaA ylaC sqwiE tiJ xnaH,[[ninety-three]]
KaJ,[[nine]]
KlaJ,[[twenty]]
KlaJ ndwaB jaE kwaJ,[[twenty-four]]
KlaJ ndwaB kaH,[[twenty-nine]]
KlaJ ndwaB ktiH,[[twenty-seven]]
KlaJ ndwaB skaE,[[twenty-one]]
KlaJ ndwaB skwaH,[[twenty-six]]
KlaJ ndwaB snaH,[[twenty-three]]
KlaJ ndwaB snoqH,[[twenty-eight]]
KlaJ ndwaB tkwaH,[[twenty-two]]
KlaJ qnyoE,[[thirty-five]]
KlaJ qyuE,[[twenty-five]]
KlaJ tyiH,[[thirty]]
KlaJ tyiH ndwaB jaE kwaJ,[[thirty-four]]
KlaJ tyiH ndwaB kaH,[[thirty-nine]]
KlaJ tyiH ndwaB ktiH,[[thirty-seven]]
KlaJ tyiH ndwaB skaE,[[thirty-one]]
KlaJ tyiH ndwaB skwaH,[[thirty-six]]
KlaJ tyiH ndwaB snaH,[[thirty-three]]
KlaJ tyiH ndwaB snoqH,[[thirty-eight]]
KlaJ tyiH ndwaB tkwaH,[[thirty-two]]
KtiJ,[[seven]]
QnyoJ,[[fifteen]]
QnyoJ lkwaI,[[nineteen]]
QnyoJ tykwaH,[[seventeen]]
QnyoJ xkaI,[[sixteen]]
QnyoJ xnaH,[[eighteen]]
QyuJ,[[five]]
QyuJ ylaC,[[one hundred]]
SkaA,[[one]]
SkwaJ,[[six]]
SnaJ,[[three]]
SnaJ ylaC,[[sixty]]
SnaJ ylaC ndwaB jaE kwaJ,[[sixty-four]]
SnaJ ylaC ndwaB kaH,[[sixty-nine]]
SnaJ ylaC ndwaB ktiH,[[sixty-seven]]
SnaJ ylaC ndwaB skaE,[[sixty-one]]
SnaJ ylaC ndwaB skwaH,[[sixty-six]]
SnaJ ylaC ndwaB snaH,[[sixty-three]]
SnaJ ylaC ndwaB snoqH,[[sixty-eight]]
SnaJ ylaC ndwaB tkwaH,[[sixty-two]]
SnaJ ylaC sqwiE qnyoE,[[seventy-five]]
SnaJ ylaC sqwiE qnyoJ lkwaI,[[seventy-nine]]
SnaJ ylaC sqwiE qnyoJ tykwaH,[[seventy-seven]]
SnaJ ylaC sqwiE qnyoJ xkaI,[[seventy-six]]
SnaJ ylaC sqwiE qnyoJ xnyaH,[[seventy-eight]]
SnaJ ylaC sqwiE qyuE,[[sixty-five]]
SnaJ ylaC sqwiE tiE,[[seventy]]
SnaJ ylaC sqwiE tiJ lkwaI,[[seventy-four]]
SnaJ ylaC sqwiE tiJ tykwaH,[[seventy-two]]
SnaJ ylaC sqwiE tiJ xkaI,[[seventy-one]]
SnaJ ylaC sqwiE tiJ xnaH,[[seventy-three]]
SnoqA,[[eight]]
TiJ,[[ten]]
TiJ lkwaI,[[fourteen]]
TiJ tykwaH,[[twelve]]
TiJ xkaI,[[eleven]]
TiJ xnaH,[[thirteen]]
TkwaJ,[[two]]
TqwaJ,[[forty]]
TqwaJ ndwaB jaE kwaJ,[[forty-four]]
TqwaJ ndwaB kaH,[[forty-nine]]
TqwaJ ndwaB ktiH,[[forty-seven]]
TqwaJ ndwaB skaE,[[forty-one]]
TqwaJ ndwaB skwaH,[[forty-six]]
TqwaJ ndwaB snaH,[[forty-three]]
TqwaJ ndwaB snoqH,[[forty-eight]]
TqwaJ ndwaB tkwaH,[[forty-two]]
TqwaJ qnyoJ,[[fifty-five]]
TqwaJ qyuJ,[[forty-five]]
TqwaJ tyiH,[[fifty]]
TqwaJ tyiH ndwaB jaE kwaJ,[[fifty-four]]
TqwaJ tyiH ndwaB kaH,[[fifty-nine]]
TqwaJ tyiH ndwaB ktiH,[[fifty-seven]]
TqwaJ tyiH ndwaB skaE,[[fifty-one]]
TqwaJ tyiH ndwaB skwaH,[[fifty-six]]
TqwaJ tyiH ndwaB snaH,[[fifty-three]]
TqwaJ tyiH ndwaB snoqH,[[fifty-eight]]
TqwaJ tyiH ndwaB tkwaH,[[fifty-two]]
