Word,Definitions
jaH,[[clear|cleared]] [[up|up]]
jenM,[[pass|passed]]
jiH,[[spend|spent]] [[money|money]] ; [[miss|missed]] [[a|an]] [[activity|activity]]
jlyaLH,[[fart|farted]]
jlyoMH,[[die|died]]
jnyiqM,[[borrow|borrowed]]
jwiLM,[[get|got]] [[something|something]]
kwaHL,[[sit|sat]]
kwaLM,[[sweep|swept]]
kwaML,[[count|counted]]
kwanH,[[bless|blessed]] [[he|him]]
kwiH,[[hang|hung]] [[it|it]]
loML,[[take|took]] [[out|out]]
lqaLM,[[blow|blew]] [[into|into]]
lyaHL,[[peel|peeled]] [[off|off]]
naqH yqwiML,[[get|got]] [[lose|lost]] ; [[get|got]] [[lose|lost]]
naqHL,[[wash|washed]] [[hand|hands]]
nchaH,[[break|broke]]
nchaqLH,[[dampen|dampened]]
nchinH,[[knot|knotted]]
nchuH,"[[tore|tore]] [[up|up]], [[hit|hit]], [[pop|popped]] [[up|up]]"
nchuqL,[[poop|pooped]]
ndaLM,[[give|gave]]
ndenLH,[[carry|carried]]
ndiyanMH,[[come|came]] [[away|away]]
ndlyuH,[[fall|fell]] [[down|down]] [[from|from]] [[a|a]] [[low|low]] [[place|place]]
ndlyuLH,[[turn|turned]] [[around|around]]
ndonLH,[[stand|stood]]
nduqLH,[[cough|coughed]]
ndyaLM,[[return|returned]] [[a|a]] [[borrow|borrowed]] [[object|object]]
ndyiL,[[finish|finished]]
ndyuM,[[fall|fell]] [[from|from]] [[above|above]]
ndywanM,[[jump|jumped]]
ndywiqLM,[[turn|turned]] [[it|it]] [[off|off]]
neHL,[[confess|confessed]]
neLH,[[sound|sounded]]
ngeLH,[[endure|endured]]
ngonM,[[shot|shot]]
ngwaM,[[be|was]]
ngyaLH,[[go|went]] [[back|back]] [[home|home]]
ngylaLM,[[melt|melted]]
nkeqLM,[[cook|cooked]]
nkinM,[[burnt|burnt]]
nkjwiLH,[[die|died]]
nkonqLH,[[peck|pecked]] [[at|at]]
nkqiH,[[get|got]] [[roast|roasted]]
nkqwaH,[[drow|drowned]]
nkqwaLH,[[get|got]] [[cold|cold]]
nkwaLM,[[strain|strained]]
nkwiH,[[boil|boiled]] ; [[fly|flew]]
nkyaLH,[[come|came]] [[home|home]]
nlyuH,[[fall|fell]] [[down|down]] [[(|(]] [[while|while]] [[stand|standing]] [[or|or]] [[walk|walking]] [[)|)]]
nnaH,[[look|looked]] [[for|for]]
nsuqLM,[[be|was]] [[aging|aging]]
ntaqML/L,[[chew|chewed]]
ntenLM,[[enter|entered]]
ntiH,[[soften|softened]] [[up|up]]
ntiqiH,[[moan|moaned]]
ntjaH,[[sneeze|sneezed]] ; [[sneeze|sneezed]]
ntkonqLM,"[[close|closed]], [[cover|covered]]"
ntonLH,[[grow|grew]]
ntonLM,[[reproduce|reproduced]] [[oneself|oneself]]
ntqanH,[[smear|smeared]]
ntqenH,[[marry|married]]
ntqoH,[[leave|left]]
ntsaML,[[divide|divided]] [[up|up]]
ntsaqLH,[[get|got]] [[wet|wet]]
ntsenLH,[[get|got]] [[scared|scared]]
ntsiqLM,[[bury|buried]]
ntsonHL,[[warm|warmed]] [[up|up]]
ntsuLH,[[blossom|blossomed]]
ntyiL/H,"[[dry|dried]], [[erase|erased]]"
ntyinqLM,[[close|closed]] [[eye|eyes]]
ntyjaM,[[find|found]]
ntyjanqL,[[infect|infected]]
ntyjyuqH,[[get|got]] [[stick|stuck]] [[in|in]] [[mud|mud]]
ntykaM,[[heal|healed]]
ntykanqLM,[[be|was]] [[tie|tied]]
ntykaqH,[[leap|leapt]]
ntykonqLH,[[shrank|shrank]]
ntykwaL,[[reach|reached]]
ntykwanHL,[[tremble|trembled]]
ntykwanM,[[pick|picked]] [[up|up]]
ntykwenLM,[[climb|climbed]]
ntyqoH,[[resemble|resembled]]
ntyqyaH,[[bring|brought]] [[down|down]] ; [[lower|lowered]] [[down|down]]
nxiM,[[turn|turned]]
nxinLH,[[reproduce|reproduced]]
nyaHL,[[build|built]] ; [[tremble|trembled]]
nyiHL,[[dug|dug]] [[a|a]] [[hole|hole]] ; [[confess|confessed]]
qaML,[[break|broke]]
qanL,[[sit|sat]] ; [[go|went]] [[around|around]]
qeLH,[[lick|licked]]
qenL,[[exist|existed]]
qneH,[[get|got]] [[whip|whipped]]
qneLH,[[do|did]]
qnyiH,[[whip|whipped]] [[he|him]] ; [[hit|hit]]
quHL,[[show|showed]]
qyaLH,[[come|came]] [[down|down]]
qyaLM,[[buy|bought]] [[or|or]] [[carry|carried]]
saqM,[[tore|tore]] [[up|up]]
senH,[[squeeze|squeezed]] [[it|it]] ; [[spread|spread]] [[around|around]]
skanqLM,[[tie|tied]] [[up|up]]
skonqLM,[[close|closed]]
skwaLM,[[lay|lay]] [[elevate|elevated]]
skwanH,[[pluck|plucked]]
skwanM,[[throw|threw]]
skwaqH,[[take|took]] [[out|out]] [[corn|corn]] [[kernel|kernels]] [[from|from]] [[cob|cob]]
skwenH,[[shook|shook]]
slaH,[[open|opened]]
slaqH,[[say|said]] [[good|good]] [[bye|bye]] [[for|for]] [[a|a]] [[last|last]] [[time|time]]
sluHL,[[spill|spilled]]
slyaML,[[agree|agreed]]
snaLM,[[run|ran]] [[away|away]]
sneHL,[[sprinkle|sprinkled]]
sneLM,[[spread|spread]] [[around|around]]
snyaqH,[[pinch|pinched]]
sonLM,[[fight|fought]]
sqanH,[[fill|filled]]
sqiM,[[buy|bought]]
sqnaH,[[cause|caused]] [[to|to]] [[swing|swing]]
sqwaHL,[[put|put]] [[in|in]]
sqweHL,[[divide|divided]] [[up|up]]
